Comment,Designator,Footprint,LCSC,Quantity
C0.1uF,"C1,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C2,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C3,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C4,C40,C5,C6,C7,C8,C9",C_0603_1608Metric,C14663,40
Conn_01x03_Socket,"J1,J2",JST_XH_S3B-XH-SM4-TB_1x03-1MP_P2.50mm_Horizontal,C161860,2
R470,R1,R_0603_1608Metric,C23179,1
SK6812,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D5,D6,D7,D8,D9",LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,C5181320,40
